,Primer,Taxonomic Level,Reference Status,Num Subsampled,Total Nodes,Total Edges,Positive Edges,Negative Edges,Pos/Neg,Pos/Total,Neg/Total,Avg Path Length,Modularity,Avg Degree,Heterogeneity,Clustering Coefficient
250,asv16S,Family,physeq_Stressed,50,14,40,39,1,39,0.975,0.025,1.402985075,0.075771801,5.714285714,0.745767678,0.747211896
251,asv16S,Family,physeq_Stressed,50,13,38,38,0,Inf,1,0,1.615384615,0.0608408,5.846153846,0.84033229,0.66
252,asv16S,Family,physeq_Stressed,50,20,45,44,1,44,0.977777778,0.022222222,1.357142857,0.08395489,4.5,0.605602689,0.762886598
253,asv16S,Family,physeq_Stressed,50,15,34,33,1,33,0.970588235,0.029411765,1.507246377,0.092991129,4.533333333,0.769782651,0.68877551
254,asv16S,Family,physeq_Stressed,50,20,48,45,3,15,0.9375,0.0625,1.505154639,0.205030987,4.8,0.73226115,0.660550459
255,asv16S,Family,physeq_Stressed,50,19,52,49,3,16.33333333,0.942307692,0.057692308,1.540540541,0.04147346,5.473684211,0.712029755,0.724935733
256,asv16S,Family,physeq_Stressed,50,17,43,43,0,Inf,1,0,1.385714286,0.281182905,5.058823529,0.713600093,0.779359431
257,asv16S,Family,physeq_Stressed,50,14,39,38,1,38,0.974358974,0.025641026,1.417910448,0.046673251,5.571428571,0.616680354,0.741312741
258,asv16S,Family,physeq_Stressed,50,14,50,50,0,Inf,1,0,1.450549451,0.022595074,7.142857143,0.906290681,0.701005025
259,asv16S,Family,physeq_Stressed,50,13,38,38,0,Inf,1,0,1.321428571,0.286268119,5.846153846,0.644853299,0.819277108
260,asv16S,Family,physeq_Stressed,50,23,62,59,3,19.66666667,0.951612903,0.048387097,1.360824742,0.125141399,5.391304348,0.557406942,0.820925553
261,asv16S,Family,physeq_Stressed,50,12,33,33,0,Inf,1,0,1.5,0.026316196,5.5,0.885851469,0.673170732
262,asv16S,Family,physeq_Stressed,50,22,61,59,2,29.5,0.967213115,0.032786885,1.432692308,0.079926354,5.545454545,0.52321383,0.831932773
263,asv16S,Family,physeq_Stressed,50,13,40,40,0,Inf,1,0,1.487179487,0.000803129,6.153846154,0.781381587,0.739285714
264,asv16S,Family,physeq_Stressed,50,15,49,49,0,Inf,1,0,1.723809524,0.044217701,6.533333333,0.653407591,0.692934783
265,asv16S,Family,physeq_Stressed,50,11,33,33,0,Inf,1,0,1.4,0.011528677,6,0.718901643,0.687804878
266,asv16S,Family,physeq_Stressed,50,16,50,48,2,24,0.96,0.04,1.456521739,0.033302058,6.25,0.788060942,0.730569948
267,asv16S,Family,physeq_Stressed,50,16,42,41,1,41,0.976190476,0.023809524,1.382352941,0.027462698,5.25,0.740752917,0.800711744
268,asv16S,Family,physeq_Stressed,50,20,47,45,2,22.5,0.957446809,0.042553191,1.43373494,0.149647168,4.7,0.693606941,0.761904762
269,asv16S,Family,physeq_Stressed,50,21,62,58,4,14.5,0.935483871,0.064516129,1.32967033,0.186624316,5.904761905,0.629229815,0.85625
270,asv16S,Family,physeq_Stressed,50,16,55,53,2,26.5,0.963636364,0.036363636,1.320987654,0.076052415,6.875,0.738732861,0.784090909
271,asv16S,Family,physeq_Stressed,50,18,47,46,1,46,0.978723404,0.021276596,1.426829268,0.086534017,5.222222222,0.639864227,0.777439024
272,asv16S,Family,physeq_Stressed,50,19,49,47,2,23.5,0.959183673,0.040816327,1.644859813,0.162774596,5.157894737,0.712029755,0.664772727
273,asv16S,Family,physeq_Stressed,50,13,40,40,0,Inf,1,0,1.487179487,0.018444005,6.153846154,0.896719338,0.677419355
274,asv16S,Family,physeq_Stressed,50,13,40,40,0,Inf,1,0,1.487179487,0.043821038,6.153846154,0.78063062,0.664285714
275,asv16S,Family,physeq_Stressed,50,11,30,30,0,Inf,1,0,1.454545455,0,5.454545455,0.718901643,0.732954545
276,asv16S,Family,physeq_Stressed,50,15,37,36,1,36,0.972972973,0.027027027,1.53164557,0.043398359,4.933333333,0.653970631,0.632911392
277,asv16S,Family,physeq_Stressed,50,18,44,44,0,Inf,1,0,1.52688172,0.105105311,4.888888889,0.690390719,0.702970297
278,asv16S,Family,physeq_Stressed,50,24,53,48,5,9.6,0.905660377,0.094339623,1.650406504,0.179309744,4.416666667,0.498967751,0.741666667
279,asv16S,Family,physeq_Stressed,50,15,41,41,0,Inf,1,0,1.481012658,0.060497212,5.466666667,0.868624573,0.655913978
280,asv16S,Family,physeq_Stressed,50,15,36,36,0,Inf,1,0,1.544303797,0.053135994,4.8,0.769304376,0.663716814
281,asv16S,Family,physeq_Stressed,50,15,36,35,1,35,0.972222222,0.027777778,1.544303797,0.009662778,4.8,0.769304376,0.663716814
282,asv16S,Family,physeq_Stressed,50,19,45,43,2,21.5,0.955555556,0.044444444,1.444444444,0.054670367,4.736842105,0.669449657,0.735099338
283,asv16S,Family,physeq_Stressed,50,14,38,37,1,37,0.973684211,0.026315789,1.432835821,0.102023484,5.428571429,0.802275769,0.707317073
284,asv16S,Family,physeq_Stressed,50,25,54,49,5,9.8,0.907407407,0.092592593,1.84375,0.251172125,4.32,0.570372525,0.682997118
285,asv16S,Family,physeq_Stressed,50,22,59,58,1,58,0.983050847,0.016949153,1.414141414,0.06939941,5.363636364,0.569849849,0.814004376
286,asv16S,Family,physeq_Stressed,50,16,36,34,2,17,0.944444444,0.055555556,1.389830508,0.06815745,4.5,0.686301801,0.72815534
